product_id,product_name,brand,category,price,cost,stock_quantity,created_at,updated_at
1,Premium Laptop,Premium,Electronics,249,166.99,294,2021-03-18T00:00:00,2021-04-25T00:00:00
2,ModernLine Phone,ModernLine,Electronics,1238,863.12,423,2021-03-21T00:00:00,2021-04-23T00:00:00
3,TechFirst Phone,TechFirst,Electronics,342,132.89,163,2021-12-28T00:00:00,2022-04-01T00:00:00
4,ClassicMake Phone,ClassicMake,Electronics,243,147.18,448,2021-01-06T00:00:00,2021-01-08T00:00:00
5,ModernLine Tablet,ModernLine,Electronics,604,262.92,311,2020-07-01T00:00:00,2020-08-18T00:00:00
6,ProBrand Tablet,ProBrand,Electronics,256,147.07,492,2020-12-01T00:00:00,2020-12-24T00:00:00
7,ClassicMake Headphones,ClassicMake,Electronics,1411,796.29,112,2020-11-24T00:00:00,2020-12-05T00:00:00
8,ProBrand Smartwatch,ProBrand,Electronics,255,128.82,293,2022-01-04T00:00:00,2022-01-15T00:00:00
9,EcoGoods Smartwatch,EcoGoods,Electronics,270,99.88,42,2024-01-14T00:00:00,2024-01-26T00:00:00
10,ProBrand Smartwatch,ProBrand,Electronics,1454,695.23,48,2024-03-24T00:00:00,2024-06-19T00:00:00
11,TechFirst Camera,TechFirst,Electronics,1276,654.08,4,2022-11-16T00:00:00,2023-02-13T00:00:00
12,ClassicMake Speaker,ClassicMake,Electronics,1107,541.34,10,2023-01-27T00:00:00,2023-04-20T00:00:00
13,ProBrand T-Shirt,,Clothing,143,51.04,400,2022-02-16T00:00:00,2022-05-06T00:00:00
14,ValueCo T-Shirt,ValueCo,Clothing,150,79.62,208,2023-11-24T00:00:00,2023-12-26T00:00:00
15,TechFirst Jeans,TechFirst,Clothing,168,106.02,396,2024-02-27T00:00:00,2024-04-12T00:00:00
16,ValueCo Jeans,ValueCo,Clothing,88,44.52,127,2022-06-14T00:00:00,2022-09-01T00:00:00
17,ProBrand Jacket,ProBrand,Clothing,88,56.88,282,2024-07-16T00:00:00,2024-08-31T00:00:00
18,ValueCo Jacket,ValueCo,Clothing,80,55.53,415,2020-01-12T00:00:00,2020-03-21T00:00:00
19,ModernLine Jacket,ModernLine,Clothing,113,40.92,154,2023-03-26T00:00:00,2023-06-15T00:00:00
20,TechFirst Sneakers,TechFirst,Clothing,67,45.52,207,2023-06-03T00:00:00,2023-06-26T00:00:00
21,TechFirst Sneakers,TechFirst,Clothing,143,75.49,426,2023-08-24T00:00:00,2023-09-21T00:00:00
22,TechFirst Dress,TechFirst,Clothing,25,8.21,96,2023-08-17T00:00:00,2023-09-06T00:00:00
23,EcoGoods Dress,EcoGoods,Clothing,65,20.13,349,2024-01-10T00:00:00,2024-02-14T00:00:00
24,EcoGoods Dress,EcoGoods,Clothing,66,43.29,370,2023-06-02T00:00:00,2023-07-29T00:00:00
25,EcoGoods Sweater,EcoGoods,Clothing,38,24.96,157,2024-01-22T00:00:00,2024-02-20T00:00:00
